Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,DisplayName,OPCAccessLevel,extra_properties
R01142,INT,mirror of CV04_WGH02_FLWRT,,YES,,Decimal,0,0,External Read/Write,NO,16,-40,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01142,,,,,,Private,
R01143,INT,mirror of FV05C_POSTN,,YES,,Decimal,0,0,External Read/Write,NO,16,19873,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01143,,,,,,Private,
R01144,INT,mirror of CV04_WGH07_FLWRT,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01144,,,,,,Private,
R01145,INT,mirror of CV04_MTR1_RTD1,,YES,,Decimal,0,0,External Read/Write,NO,16,46,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01145,,,,,,Private,
R01146,INT,mirror of CV04_MTR1_RTD2,,YES,,Decimal,0,0,External Read/Write,NO,16,47,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01146,,,,,,Private,
R01147,INT,mirror of CV04_MTR1_RTD3,,YES,,Decimal,0,0,External Read/Write,NO,16,44,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01147,,,,,,Private,
R01148,INT,mirror of CV04_BRG1_RTD1,,YES,,Decimal,0,0,External Read/Write,NO,16,48,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01148,,,,,,Private,
R01149,INT,mirror of CV04_BRG1_RTD2,,YES,,Decimal,0,0,External Read/Write,NO,16,45,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01149,,,,,,Private,
R01150,INT,mirror of CV04_GBOX1_RTD,,YES,,Decimal,0,0,External Read/Write,NO,16,39,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01150,,,,,,Private,
R01151,INT,mirror of CV04_MTR2_RTD1,,YES,,Decimal,0,0,External Read/Write,NO,16,42,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01151,,,,,,Private,
R01152,INT,mirror of CV04_MTR2_RTD2,,YES,,Decimal,0,0,External Read/Write,NO,16,42,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01152,,,,,,Private,
R01153,INT,mirror of CV04_MTR2_RTD3,,YES,,Decimal,0,0,External Read/Write,NO,16,42,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01153,,,,,,Private,
R01154,INT,mirror of CV04_BRG2_RTD1,,YES,,Decimal,0,0,External Read/Write,NO,16,42,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01154,,,,,,Private,
R01155,INT,mirror of CV04_BRG2_RTD2,,YES,,Decimal,0,0,External Read/Write,NO,16,43,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01155,,,,,,Private,
R01156,INT,mirror of CV04_GBOX2_RTD,,YES,,Decimal,0,0,External Read/Write,NO,16,35,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01156,,,,,,Private,
R01157,INT,mirror of CH4_GAS_LVL1,,YES,,Decimal,0,0,External Read/Write,NO,16,30,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01157,,,,,,Private,
R01158,INT,mirror of CO_GAS_LVL1,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01158,,,,,,Private,
R01159,INT,mirror of CH4_GAS_LVL2,,YES,,Decimal,0,0,External Read/Write,NO,16,20,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01159,,,,,,Private,
R01160,INT,mirror of CO_GAS_LVL2,,YES,,Decimal,0,0,External Read/Write,NO,16,170,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01160,,,,,,Private,
R01161,INT,mirror of CH4_GAS_LVL3,,YES,,Decimal,0,0,External Read/Write,NO,16,30,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01161,,,,,,Private,
R01162,INT,mirror of CO_GAS_LVL3,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01162,,,,,,Private,
